location_id,obcina,regija,tip_destinacije
193,Šentilj,OSTALO,OSTALO
194,Šentjernej,OSTALO,OSTALO
195,Šentjur,OSTALO,OSTALO
196,Šentrupert,OSTALO,OSTALO
197,Šenčur,OSTALO,OSTALO
198,Škocjan,OSTALO,OSTALO
199,Škofja Loka,OSTALO,OSTALO
200,Škofljica,OSTALO,OSTALO
201,Šmarje pri Jelšah,OSTALO,OSTALO
202,Šmarješke Toplice,OSTALO,OSTALO
203,Šmartno ob Paki,OSTALO,OSTALO
204,Šmartno pri Litiji,OSTALO,OSTALO
205,Šoštanj,OSTALO,OSTALO
206,Štore,OSTALO,OSTALO
207,Žalec,OSTALO,OSTALO
208,Železniki,OSTALO,OSTALO
209,Žetale,OSTALO,OSTALO
210,Žiri,OSTALO,OSTALO
211,Žirovnica,OSTALO,OSTALO
212,Žužemberk,OSTALO,OSTALO
